S.N0,Tooth,Red,Green,Blue
1,A1,226.759411764, 25.53895882212001, -6.69881764755999
2,A2,202.58000000049998, 25.373870591165023, -6.632082350644977
3,A3,210.14470588439997, 32.85434117733201, -8.237023532115966
4,A3.5,216.7523529423, 32.00933529251899, -8.211358823847013
5,A4,194.64823529249998, 43.40944705752502, -9.601635293324975
6,B1,228.98411764739998, 20.740405881322012, -7.602335294985983
7,B2,214.27176470679998, 30.581094118404003, -11.403635294851984
8,B3,210.8088235286, 38.683382351858, -12.210441176353985
9,B4,207.5935294153, 42.28398235380901, -13.087652940616994
10,C1,219.0735294104, 28.648970585312014, -10.510147057855997
11,C2,210.9370588244, 31.12075882003201, -12.441041178215986
12,C3,206.36058823239998, 35.054052941072, -10.791511762735977
13,C4,194.50823529279998, 32.30230588368401, -7.981741174491978
14,D2,216.5276470572, 27.432594116315997, -7.8819588255079935
15,D3,203.82705882340002, 34.519517646602, -7.143141174626017
16,D4,212.6052941212, 36.34080588313599, -10.685182354167992


